Area,Bedrooms,Bathrooms,Age,Garage,Pool,Location_Score,Price
3453.48315259373,4,4,77,1,0,1.5735028936303745,328155.57596221735
1121.823281068762,4,2,74,0,0,8.932924731448377,189186.2347957928
1384.6206275602408,4,2,66,1,1,4.378540591469127,205532.79618451314
2159.2632679743383,2,4,76,1,1,2.0872704191484854,219386.3723307208
4194.469534315707,1,2,47,0,1,8.55626756507514,310850.472284344
936.9557410687758,2,4,9,1,0,6.142094264134544,176584.2491448338
4270.752083744617,3,4,19,1,0,8.751933530395494,363603.8722096132
932.4428355228338,5,4,17,1,0,1.068606838830089,232884.74594150134
4894.067592560281,4,3,41,0,0,1.262213725464602,380377.48148610455
2608.930407414657,1,2,90,0,1,1.6170636106610619,173251.51357136632
4895.424896856517,2,1,9,1,1,2.70212500721928,330018.41309450957
3221.804838852707,2,2,91,0,1,4.185997684579858,240573.95441306892
3826.6861072923575,1,2,3,0,0,3.366615641153711,236639.02628181592
676.345065144443,3,4,25,1,0,5.653217695032618,195913.00491206828
1772.631331593843,1,1,63,0,1,8.787276497232632,153821.41791612265
1040.8845254592602,3,4,76,0,1,3.957409262349968,182458.9595558844
1832.6308888496521,4,4,71,0,1,6.809881695943779,275424.95686997793
1034.2747352940983,4,1,62,1,0,2.2333524052565723,157296.99641649768
1930.924307272892,3,2,3,0,1,5.749992346354458,237742.5906525232
2364.1834753160147,3,3,82,0,0,6.921916338121189,248506.28414558203
788.6637335695295,4,3,1,0,1,7.74982630082655,222776.3597514605
3616.1245371650894,5,4,22,1,0,7.080488708956827,363983.135075459
3049.706543929588,4,4,33,1,1,1.2176070633897966,306295.6814684063
1694.2527092275043,3,2,59,0,1,1.2042222030974923,175836.13770098094
2854.6162406001486,5,2,29,0,0,2.3101358582952765,278837.84868812334
922.7322984129876,4,3,77,1,1,7.796735472403728,201386.32926267845
3091.759230002807,2,1,60,1,0,2.04601333817439,224052.82606344033
4681.832889092963,1,1,29,1,1,8.927614390603239,336862.6092620825
1933.5602860309564,2,4,88,1,0,3.249937185090742,210206.84392749748
3503.3467098365677,1,2,51,0,0,9.278078898788893,248954.72597402966
1093.0903808197647,2,3,90,0,1,3.5026645472559874,139220.20600261912
3723.472418533545,5,2,55,1,1,3.8011696853064185,337223.648506445
1802.327418262405,4,4,16,1,0,3.9117638027813504,228172.33708270785
1324.3611290320257,3,3,77,0,1,7.30816705236517,189248.71197853461
3139.3082066453744,5,3,80,0,1,6.613037842359347,315778.92079010606
590.483957843721,2,2,91,0,0,5.375097707530452,81187.62735343704
4230.230131478134,1,1,40,1,0,1.7342080785086018,252302.51917621982
521.1296428664618,5,1,5,0,0,5.72671453320167,167656.76374006714
3550.1744155830356,5,2,51,0,1,5.3626067482993305,327537.580118663
1715.0358793647417,2,4,2,0,1,7.479771933137756,228109.9263557959
3808.373099551677,2,2,32,0,1,3.427892331305603,263375.43304245383
4829.848453028472,4,4,58,1,0,3.561797102246859,408096.54791384307
1619.3891458398111,3,4,5,1,1,4.172817554653356,242273.85049872595
3092.708004880266,2,3,86,0,0,4.518876455155192,223768.97567045435
3164.1886907232756,3,4,78,1,1,2.4294376934412423,292174.3561281786
3075.13357605893,5,2,28,0,1,2.4034518533970486,276085.7351037145
1503.8673468827824,4,3,69,0,1,6.46496873875495,226085.45437582003
4787.370551826432,5,2,69,0,1,1.7319535705292932,366500.18283502606
2512.064203779323,5,4,45,1,1,9.294692305410653,336948.8973291447
4308.839026120075,5,2,7,1,0,2.9845581595605806,390092.8114088605
3647.6567389287693,5,2,32,1,0,9.256230182090242,370217.7404763937
1838.4662788481014,4,2,5,0,0,6.12969105678073,239597.448945339
4162.090188661147,1,3,48,1,1,9.032807728568518,320399.6109876805
2284.275833811431,1,3,73,0,0,2.702550454437891,168165.69063424895
4464.964387000227,3,1,33,0,0,1.7731820030049052,296607.96922542516
3115.7279268613643,3,3,9,0,0,9.268546290868905,304981.68219404615
4467.8091283468375,1,1,27,0,0,2.571687166674858,267876.863668864
3616.3921553499463,3,2,63,0,0,6.909445052464544,302054.7778008465
3763.6442591883824,3,4,13,1,0,3.781025727293504,336198.02833267424
2755.9597186701603,2,4,77,0,1,5.880739745492687,253241.01966706553
4802.376356254507,2,3,56,0,0,5.47234441710681,336911.3837564898
3397.955896533368,1,1,38,1,0,3.3169668592629775,215569.95130181583
2407.3477185118086,5,3,75,0,0,3.5043717711427442,246160.57760432267
3228.7694635756598,4,2,8,1,1,2.4123073603211944,300293.2662746823
586.3693923920009,2,2,84,1,1,2.6220802579852434,98888.87865284001
1857.086675035472,1,2,24,0,1,1.6609301562651133,149681.63825686113
3470.780918717083,1,3,1,0,1,2.5782013376239,256460.7363576927
1805.3492324469983,4,1,83,0,1,1.358850542599495,183884.67695453585
3281.069430494787,1,2,99,1,0,5.350726542785236,225084.38668185702
2429.4591542559474,4,3,2,1,1,2.679969868131998,290425.2671631838
1109.633289001026,2,1,89,0,0,2.955422392838399,117850.32417769817
1842.2704668021386,4,3,41,0,1,7.825233402787911,248538.25816776586
3064.842098155692,3,4,24,0,0,4.304364890612671,284501.70888707304
3158.9274256167796,5,2,36,1,0,1.6300010057064838,292872.80348784756
3084.4636198231046,2,3,33,0,0,8.541721384220619,266375.22600808536
3439.4036893571015,2,3,63,0,1,8.379370376045193,290971.37077862746
3434.4647150076,2,1,85,0,0,9.984800938768059,258559.28392640591
2441.382959452883,5,4,41,1,0,5.275310709609434,315330.2201419821
4534.459681329783,5,1,94,1,1,8.459044423735836,388342.0877277558
2154.0284152155346,4,2,89,1,0,6.57607692533565,229636.1536960044
2461.392163695321,4,1,46,1,0,6.281293789899147,226903.64296566506
4513.655097570525,3,3,70,0,0,9.599777460314055,345441.9517572246
4127.872950707386,4,2,24,1,1,2.387495027795154,349077.0118818626
3667.4986259316483,4,3,81,1,1,5.426466724738024,321625.48708359594
951.020992905355,3,2,68,0,1,4.738686113443405,166348.44506362829
4637.671761851031,3,2,14,1,1,8.81284864798816,397450.3700557033
3714.0858479710014,4,1,1,0,1,4.141468956032439,309569.5948710585
4994.811529555399,3,2,34,1,0,7.124448077023601,387639.0330928485
1172.517370960972,2,1,60,0,1,5.586304719361958,141349.5774287325
4406.567258156964,1,2,51,1,1,4.637642775688216,315885.95276430406
1231.2182060436867,1,3,14,0,1,9.08137103732789,190505.83662617177
3270.0180392772986,5,1,73,0,1,3.3353809212519767,269684.6500825567
1057.1899228224868,5,2,19,0,0,8.103009941487826,218989.71385013984
4316.037031950054,2,2,46,0,0,1.105109014851912,297427.3392767981
4132.935314262548,2,3,69,0,1,9.20075325563807,330300.1925901645
3060.95332376567,3,2,33,1,1,2.312659354314855,263025.2322308416
2332.3248375169987,3,2,94,0,1,6.10434252013325,187056.84315368487
811.2514795481212,4,3,78,0,1,2.3977937831081673,169857.40723088052
3638.4294791505363,5,3,57,1,0,4.36158138685272,354642.731090159
2540.94207205131,4,1,78,0,0,7.482819132144583,217829.81403728056
3749.250197616566,1,2,6,1,0,5.507445551037156,274841.0176668767
4398.720466678831,1,4,68,0,1,8.402923944623414,328034.2586137369
4889.846772512986,3,1,89,0,1,9.021275857538459,360079.3491501332
4351.11504076675,5,3,58,0,1,6.94640750719922,386333.14279890846
552.7133788325089,2,4,95,0,0,2.6508472937016343,96282.59511998933
2119.9012901526376,5,1,70,1,1,9.83559110819056,280059.6314826691
3784.957530908261,2,4,80,0,1,7.254870522403837,317098.2221155037
1272.3335476764823,4,3,22,1,0,9.883631502881938,256035.12222589407
2844.664727918582,2,4,28,0,0,2.382497362932102,251154.43948592027
744.5209475266413,3,4,78,0,0,3.4134090928309764,135922.04288568135
1399.9843620338004,5,4,28,1,0,3.7764136423126358,258058.7297810339
583.3480750727629,2,3,93,0,0,3.4472795960194245,105643.31975826173
4071.639665108393,4,3,77,0,1,5.765813591532738,348164.6594741388
1507.6610962717104,2,2,48,1,1,8.34253773382635,200771.37593827865
2054.082563136062,4,4,38,0,1,8.868798883604507,287548.66632946895
4676.365820595159,2,3,5,0,1,4.57121631196456,359175.288271404
3669.8648086558974,1,3,68,1,0,2.185352215626409,254418.35274311123
643.2751828908853,3,2,91,0,0,9.06270304571431,147068.8153373644
1241.1237042406074,5,3,16,1,0,5.7016931226610135,248954.99177571232
3296.6528067489357,3,3,31,0,0,8.790138774086179,292840.61155883496
3097.528648718754,5,3,54,0,1,7.378227202703668,333230.4380421967
1570.5176961852887,2,2,46,1,0,5.3926132351642435,162368.26053822358
4703.962990661572,3,1,56,0,0,5.073377597476417,325491.41055727494
3262.846801846532,1,2,3,1,1,3.177501366353292,266115.93097979686
2910.347613612312,2,1,25,1,1,4.908931556860656,230136.62395993603
3154.5948935955694,1,2,83,0,1,6.649853160693771,229713.63089012582
3785.5491328254634,2,1,25,1,0,1.6080655666506702,264381.28854035074
1903.7524796582084,4,2,21,1,1,6.9939095906381334,249173.31500915138
2291.994779972413,5,3,91,0,0,7.255711759991757,281437.71179921675
1444.2968703880497,5,1,96,0,1,3.0345118885617453,180970.25849418252
1337.8685264615128,1,3,76,0,0,4.819638198265094,129393.68366208077
4749.675754927701,1,2,7,0,1,6.840377977527205,321846.2406211161
3827.978577721794,1,4,75,0,0,1.0960952973453024,235101.06374018508
2707.0646387790516,4,3,57,1,1,3.4421879808590816,305512.38223185524
1523.3658258799546,2,1,49,1,0,4.686967013596686,152686.7143834883
1644.6041679667683,3,1,48,0,0,8.897647834116043,179811.15702906635
761.1312214574402,1,1,71,0,0,9.441903194086068,91372.86828986705
2454.8748150115434,1,3,54,1,0,1.5145315186302262,191170.36675976156
1903.0814689734616,4,3,40,1,0,3.9029764166689644,245405.68770522915
3633.5456996695675,3,1,95,1,0,6.312770932464435,282770.22290648724
2199.8832768161637,5,1,85,1,1,5.419534433232184,254576.53081634303
1308.2165490183565,1,4,49,0,0,7.165487601915581,172236.67816934412
611.0542777609905,5,2,6,0,0,3.1839659116486247,174870.52782851586
802.6233415846186,1,4,34,1,0,9.869143710572693,172650.9223777418
3557.267480743553,2,2,27,1,0,1.4472514860435526,266072.29640538787
2541.635800502204,1,4,93,1,0,2.7897978487014234,203390.97672812047
2914.60644998925,1,4,52,1,0,7.760468101279709,256528.74378144895
4535.02081868154,1,3,79,0,1,1.6314759330545958,273294.1223294409
4956.52526328517,4,4,17,1,1,6.167599471021802,433013.6530303895
1476.0364297931328,4,2,84,0,1,3.3362847728794236,185365.29608981792
3483.8519139504538,1,3,76,1,0,7.870641796551666,269507.6514028839
1684.9506953171779,4,1,14,0,1,8.392172821367826,223011.6177872973
592.929497595779,4,1,58,0,1,9.095362894076473,160281.50222925315
3912.7039422626367,3,2,54,0,1,8.377237516692459,324715.759947511
1940.0771787011054,1,3,38,0,1,7.79558267217744,221475.40448754214
2225.587523773541,4,2,30,1,1,1.5575610142936078,243668.2888850879
3147.427010991226,5,2,41,0,1,1.840288041367597,302706.86921069276
4239.718048562857,5,2,32,0,0,2.760143511728111,333204.1442321662
3330.418296160169,3,3,92,1,0,5.493614396643469,280738.45552235807
4426.927949513279,2,4,92,1,0,3.932151727303312,316405.6333762295
1730.939156670361,5,3,3,0,0,8.71112095253558,265158.46812916454
4091.2107526065365,3,4,86,0,0,1.633689659799566,315404.38989238377
1335.361749376785,4,2,64,0,0,5.140578956509399,177209.60111815942
4787.56245637375,2,2,87,0,0,6.515419379077129,318504.23859025195
3593.6972437451686,2,4,94,1,0,2.223792182546782,290003.63956988853
1469.784547011013,2,3,39,1,1,1.4447368728403507,173085.73726759886
4763.167657200159,5,3,47,1,1,4.602442488693491,410756.72721529356
3788.8511304657104,2,4,25,0,1,5.893872263656527,321915.3652814679
1642.7373916776162,1,2,77,1,0,9.004235542359114,189985.11190546694
1459.903898153669,4,1,94,1,1,8.990302021221199,219058.1165334228
2831.9032126879847,4,4,18,1,1,6.6274074648382415,321473.4181057606
615.4822312453921,2,1,77,0,0,3.3623618164934594,85639.53114139824
1433.6153394849923,2,2,69,1,0,4.4616470317658985,154643.4909812775
2411.084609381778,2,3,10,1,1,1.864261847946868,218545.02314120356
2183.764911504015,4,1,19,0,1,3.5678634142280234,221411.3173538494
2586.089409641648,2,2,39,1,1,1.6420776783946998,216489.68463014567
1749.3291783262937,2,2,90,1,0,1.5936151727208496,141045.0621138639
3140.5295590617598,4,3,80,0,0,4.899183219278749,296033.5089345589
4387.350226654542,3,4,89,0,0,1.053381693918996,312281.175482499
1028.8933518291487,4,1,84,1,1,4.000644752068706,161748.95025285985
2828.2059821935136,3,2,24,0,0,5.222021552588252,256188.42693302935
1094.30647855319,5,2,61,1,0,6.724178074021069,203310.69575733083
3725.8685653666716,5,3,53,0,0,8.410158467437558,345465.38730511756
2282.268662632822,3,1,19,1,0,1.2261244402474643,193870.43153326673
3044.3959033632905,4,2,71,1,0,2.086873744771845,276216.8022018093
1324.7592629633536,1,2,73,1,1,6.474109197392196,146521.66077551775
1151.8149170451975,4,3,11,0,0,1.0791796120992987,205828.52002132655
2696.2532629202956,4,2,25,0,0,8.38287892127631,286886.50715633645
2100.2573203248003,3,3,45,1,0,1.4393875681611537,209735.8768089204
4731.943753637659,1,1,2,1,1,3.1162780219109147,301334.64015446586
3943.9636421313435,1,2,84,0,1,4.71194783839935,231843.3615184085
3868.986289327463,5,2,51,1,1,6.305574071542242,353308.94844037836
4566.7388288567,1,1,39,0,1,2.9969122194626014,277283.8059980684
875.4009594890834,3,4,28,0,0,2.6976511462574915,159284.22374318255
2984.8661146508293,3,3,20,0,0,7.538692003692696,290963.7643877549
3130.1423103009597,1,3,68,1,0,4.193007147135381,226798.15332000644
4828.71370346253,1,2,73,0,1,3.7108241177633245,295935.8204405036
1814.6638705664698,4,1,87,0,0,9.17650845372859,206229.6271526682
1583.7295096195107,3,2,59,1,1,7.205827071243113,209522.64168905094
951.3227401947402,2,1,63,0,1,6.836142190107293,120176.17409543
573.933333161634,4,2,13,0,1,1.2977973377327638,150049.7681091971
4682.881925564858,3,4,65,1,0,8.475734559058342,372676.9517067031
3514.624459659095,3,2,17,0,1,9.18392567579451,296900.1080092512
4033.1881041041197,5,3,25,1,1,3.143267831604674,368040.28532218083
1767.7854758927708,4,1,96,0,1,4.720056338862652,188068.5544543227
3138.8457478384703,3,1,97,1,0,9.1794789589071,263206.7308856533
787.7986975444151,4,1,100,0,1,2.0895295959995304,116471.27998100253
2685.324181705803,3,3,70,0,1,2.688408420688096,249401.37834322074
4898.728128850011,3,2,55,0,0,9.723789922981055,385840.5181580975
4444.273603924659,2,4,70,0,0,3.975176794616269,306588.20561924676
2021.7152832658053,5,3,62,1,0,8.57511367403357,299653.3886647483
4827.065695436743,4,3,2,1,1,1.6472283923207707,382708.4526094196
1542.6573191204204,3,1,25,1,1,2.9552382431203177,183286.46986555925
4771.934700870566,4,2,13,1,1,9.626038523667768,414497.333005996
4736.1996711792435,4,3,50,1,1,4.428710190453174,400112.3117667057
4096.411643085763,1,4,42,1,0,9.997940758797585,344645.2399694175
3337.0157159005603,4,2,55,0,1,8.793539231363177,324091.92264514376
4434.295849812262,1,2,84,1,1,7.701995952039871,310395.880833041
1818.5912802850853,4,3,55,0,0,6.353869931731504,239100.11597068072
4320.245998908133,4,3,32,0,1,7.2956741632364315,383371.2671401837
3280.445113628857,1,4,72,0,0,8.478566376295923,283305.9504852644
559.5658599150477,5,3,21,1,0,7.982316765108173,223037.50534057576
2062.550830694988,4,2,27,0,1,3.955115955164332,244826.94436370814
1166.6338742667426,3,2,30,1,1,6.133668762969348,168579.266962192
4918.2322541821395,5,2,52,0,1,4.810620702415572,392783.4206854656
2652.6663816799464,2,4,78,0,1,6.703074183627845,261973.68576546764
2738.261144743982,4,4,84,1,0,8.152441585591822,309639.7410784242
3377.626323794256,2,1,83,1,0,7.194706353531998,261951.0130760647
2158.6307275832787,5,2,65,1,0,2.06163382600615,263689.28416328
1116.0512225851953,3,1,98,1,1,8.635053077725342,175151.2428646427
4199.529799374104,4,4,37,1,1,2.235377592022622,355620.0824727547
1354.3156035624108,1,3,91,0,0,4.9639226683336055,136303.35250395126
2800.935421459052,2,3,27,0,1,1.234988828313424,230294.9374490603
1509.4266303863267,1,2,12,1,0,1.986095623879816,155588.87820163838
940.3001802231531,5,4,9,0,1,9.63577330644845,275621.5990112984
4379.861828397575,4,4,91,0,1,9.55247276573021,388800.40147771226
4878.137700604087,4,3,30,1,0,7.870745541258966,418539.991831135
4823.755961283501,2,4,64,0,1,9.820401837942395,373939.8036399153
4579.499746495305,2,2,61,0,0,2.192892265431717,287629.9923975226
3983.2129971438744,3,2,24,1,0,2.602380878352146,313372.87196752965
1999.1531841288886,5,1,83,1,1,8.832627641847761,256687.107611496
864.9562549459854,2,2,23,0,0,4.507193209493076,133632.6797649778
2332.585271362133,1,2,100,1,1,5.315677044831554,177432.95971829043
1545.0536397692424,1,1,44,1,1,4.8590891271714565,153917.0008266115
1096.1943564109233,4,2,18,0,1,2.2655589237313123,181109.75220081638
740.4223180407137,5,3,63,0,0,8.340627376487163,193050.67312885687
3765.1746389476043,3,4,89,1,0,1.1865239841292903,318366.12188902486
551.4235638126396,3,1,21,1,0,9.177386826862483,146299.5566485751
3967.613368262493,3,4,23,0,1,2.4460124909002747,344015.81976985536
1161.2599043016876,2,3,74,1,0,5.430899573429154,171596.47122566486
857.8493716404009,5,1,43,0,1,7.9133116976971625,210632.24567549973
903.2136540737242,5,2,86,0,0,2.391312711927391,175788.7931296637
3524.215133092615,1,2,62,1,1,8.271541937222125,274298.13251375774
1604.1524443378014,3,2,78,0,1,8.314939334484006,206676.3654304821
2392.427600060443,1,2,48,1,1,7.603324962009911,223118.86129471738
3008.159560957626,2,3,6,0,1,3.697232384334704,260771.38740213634
4372.4802822295715,4,3,30,1,1,1.7311451825799398,357737.2507931688
3771.6991822009772,3,1,44,0,0,2.8224937640887147,249046.77818330444
1716.4755735742158,1,2,66,1,0,2.129635744850145,154092.77752145368
1091.672596810074,5,2,92,1,1,2.542948029122954,202070.21594242586
749.1844418953907,1,2,68,0,1,1.303025177324133,77059.1429685179
1857.193855164241,2,4,26,0,0,5.751338814592322,208311.4322735949
1679.531671578552,3,1,17,0,0,8.23538288909121,196242.90865228334
2552.6325506021585,4,2,81,1,1,9.770975892555263,287305.04118585854
3574.766009964562,2,2,48,1,0,7.871569755605418,312862.84329624433
3630.3145053748576,5,4,63,1,1,6.655022930718731,376897.0251808022
1775.8348096197499,2,2,12,0,1,8.272127445131083,214013.967120466
2209.671301550542,1,4,73,0,1,1.647740651518765,184182.57249303712
1315.1793278160635,2,4,31,1,1,8.342422592545534,219005.52321167343
4048.454805379334,3,4,47,0,1,1.226587285961142,316576.47527515015
755.8163439495813,1,3,21,0,1,4.498406709028181,134224.28598647425
3636.487587762443,1,2,76,0,0,2.379678955466487,227048.09528023298
4004.1292817349654,3,2,29,0,0,4.3771525110441685,290615.7146985554
3998.3340283193893,1,3,19,1,1,9.852943132913897,319691.2958415683
1667.401539554097,1,1,69,1,1,8.008316329936545,163691.3448485639
2182.1591206965268,4,2,71,1,0,3.5135513867728814,225607.20147557187
3144.1983583837505,5,4,22,0,1,5.635453376075096,343583.55977079296
1727.6985609101016,2,3,6,0,1,3.0280388361296735,218559.28109524792
2168.837596480499,4,3,2,0,1,5.107192056207864,279528.64533819194
1386.7442608353783,5,3,95,0,0,6.5724974812481385,219315.14513822438
2569.351476902033,4,2,76,1,1,1.7495980503744537,237205.3348151097
700.7553556435134,4,1,94,1,0,5.2357925701585915,152646.99695460722
4099.081480567781,2,1,1,0,0,3.4612703203082162,269053.4522768297
846.3040114398473,1,2,19,1,1,7.291347813129773,132219.5599382333
2834.7581697418673,2,3,66,0,1,9.859839504337863,258696.04365958183
1880.6454479533825,5,3,85,0,1,2.145069205877491,221456.67313138908
3098.9432697411894,3,1,58,0,0,1.3683863513666499,232199.59944772982
4817.450033750413,2,1,96,1,0,6.505573593635093,312182.3535866509
3405.066100052017,2,1,39,0,1,4.721579343588003,264648.38118562195
659.1309608997092,5,2,92,0,0,8.971734793238614,176025.36156187914
2436.8109777862755,1,2,15,1,0,5.821308466298839,204975.68494700195
2795.075835432126,3,4,30,1,1,9.722083369567926,324800.3464360513
2912.798726165534,3,1,95,1,0,1.2063729544624548,200864.56567493227
3566.2662977172704,3,2,2,1,0,3.0381525900490365,275915.14361420687
1749.1824397929474,3,2,60,0,1,6.857335562843213,198653.63420475778
1079.872544598441,4,2,7,1,0,3.830616769209306,182719.18535377056
2267.0405444619246,5,4,78,1,1,6.583837600506058,307584.5720728959
4803.82575258177,5,2,38,0,0,3.6675483825839903,365949.3339780161
1342.0890128788014,1,4,35,1,0,3.8371089558692058,165429.7457197281
4567.927797177066,3,4,27,1,1,2.5718152872633997,372940.3349055077
2947.1267753479688,1,3,53,0,0,4.386398491174145,199570.5782082185
2556.101397405946,4,1,4,1,0,8.816791485970425,292890.09974244755
4469.186346034503,3,1,34,1,1,3.4959691014500454,314731.8212232041
2563.7178279586365,5,3,86,0,1,9.546529729833804,297121.8468255188
3758.7543647519446,3,1,63,0,1,1.5225643880162716,254732.01613419896
2295.613947663959,2,2,25,1,1,8.566135770939436,229468.4482861068
4568.19976805431,1,1,41,1,1,3.8999570797709486,296434.05979589233
3605.112590860523,4,4,72,1,1,7.513041224573571,377334.505854376
3648.299244127325,1,2,40,0,1,8.800189582706818,256300.43632156882
1974.741807007035,3,1,67,1,0,2.6620671869811092,169486.19350179794
3905.5038923160014,3,1,43,1,0,2.2443421314881173,292220.3013194109
3362.2747495121357,3,2,8,1,0,4.726264200841891,279830.9633082428
1580.0912302086929,4,4,97,1,1,5.984814781907548,249464.3408087322
1222.4247011836537,5,3,64,1,1,3.187516403842171,223680.49994116166
4083.7616353279927,4,1,74,1,1,7.655785494359192,343384.5135085793
4816.249713658502,3,2,28,0,0,1.9887067239318208,340271.4377007461
2561.624722670193,1,4,13,1,1,1.8205419715823243,218798.97532508246
3159.428743956582,3,3,2,1,0,5.165741219920075,326936.5106117214
4359.751898870996,5,2,18,0,0,9.924545923361572,390282.26636980724
2557.5055400923566,2,4,30,0,1,7.264429547692908,267960.40753860836
4783.435145747313,1,1,83,0,0,3.3091743839878167,295600.47785895155
3090.880229201926,5,4,2,0,1,7.743180620955553,372704.93877766986
4193.452043155918,4,1,59,0,1,8.831160592575007,352279.41740034363
4589.796732857323,2,2,72,0,1,5.617419727575542,323580.2342242403
4169.85718445856,1,3,64,0,1,3.5263180256234437,266794.54468569777
1217.3650855203018,1,3,87,1,1,5.753546250119305,132946.72847450065
3330.042975777652,1,1,60,0,0,8.871780210320608,234764.01444806322
2292.954163788547,5,3,22,0,1,7.240323232204737,287205.9343468217
782.2082841050557,3,1,45,0,0,8.007247707289974,133439.3812193669
2408.145133504289,3,4,84,0,1,1.7223996563167816,208958.64543858706
1664.0783010023347,5,1,37,0,1,6.175981595699616,234021.659044526
4320.672387928298,5,3,55,0,0,1.6460640150438892,341278.2915527014
649.8708194601329,3,4,31,1,0,9.760591992841642,208246.91550803854
4815.422248385631,3,2,99,0,1,6.328545613229347,352751.9710104013
2099.159818123683,1,3,61,0,0,6.406654304468766,175964.96084574683
2105.181006811443,5,3,43,0,1,3.8049698618231105,245592.42264020248
573.4782620766855,4,2,95,0,1,7.149375170551069,170052.7013970045
1333.5454635628278,2,2,51,1,0,5.10151074072641,167711.53393015644
2305.667753616239,1,1,62,1,0,3.410252969654525,160468.27607979966
4681.811377862213,2,4,73,0,1,4.405910873602739,351719.16984697164
